,type,title,director,country,release_year,rating,listed_in,first_genre
0,Movie,Dick Johnson Is Dead,Kirsten Johnson,United States,2020-01-01,PG-13,Documentaries,Documentaries
1,TV Show,Blood & Water,desconocido,South Africa,2021-01-01,TV-MA,"International TV Shows, TV Dramas, TV Mysteries",International TV Shows
2,TV Show,Ganglands,Julien Leclercq,desconocido,2021-01-01,TV-MA,"Crime TV Shows, International TV Shows, TV Action & Adventure",Crime TV Shows
3,TV Show,Jailbirds New Orleans,desconocido,desconocido,2021-01-01,TV-MA,"Docuseries, Reality TV",Docuseries
4,TV Show,Kota Factory,desconocido,India,2021-01-01,TV-MA,"International TV Shows, Romantic TV Shows, TV Comedies",International TV Shows
5,TV Show,Midnight Mass,Mike Flanagan,desconocido,2021-01-01,TV-MA,"TV Dramas, TV Horror, TV Mysteries",TV Dramas
6,Movie,My Little Pony: A New Generation,"Robert Cullen, José Luis Ucha",desconocido,2021-01-01,PG,Children & Family Movies,Children & Family Movies
7,Movie,Sankofa,Haile Gerima,"United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia",1993-01-01,TV-MA,"Dramas, Independent Movies, International Movies",Dramas
8,TV Show,The Great British Baking Show,Andy Devonshire,United Kingdom,2021-01-01,TV-14,"British TV Shows, Reality TV",British TV Shows
9,Movie,The Starling,Theodore Melfi,United States,2021-01-01,PG-13,"Comedies, Dramas",Comedies
10,TV Show,"Vendetta: Truth, Lies and The Mafia",desconocido,desconocido,2021-01-01,TV-MA,"Crime TV Shows, Docuseries, International TV Shows",Crime TV Shows
11,TV Show,Bangkok Breaking,Kongkiat Komesiri,desconocido,2021-01-01,TV-MA,"Crime TV Shows, International TV Shows, TV Action & Adventure",Crime TV Shows
12,Movie,Je Suis Karl,Christian Schwochow,"Germany, Czech Republic",2021-01-01,TV-MA,"Dramas, International Movies",Dramas
13,Movie,Confessions of an Invisible Girl,Bruno Garotti,desconocido,2021-01-01,TV-PG,"Children & Family Movies, Comedies",Children & Family Movies
14,TV Show,Crime Stories: India Detectives,desconocido,desconocido,2021-01-01,TV-MA,"British TV Shows, Crime TV Shows, Docuseries",British TV Shows
15,TV Show,Dear White People,desconocido,United States,2021-01-01,TV-MA,"TV Comedies, TV Dramas",TV Comedies
16,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,"Pedro de Echave García, Pablo Azorín Williams",desconocido,2020-01-01,TV-MA,"Documentaries, International Movies",Documentaries
17,TV Show,Falsa identidad,desconocido,Mexico,2020-01-01,TV-MA,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas",Crime TV Shows
18,Movie,Intrusion,Adam Salky,desconocido,2021-01-01,TV-14,Thrillers,Thrillers
19,TV Show,Jaguar,desconocido,desconocido,2021-01-01,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",International TV Shows
20,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,Olivier Megaton,desconocido,2021-01-01,TV-14,"Crime TV Shows, Docuseries, International TV Shows",Crime TV Shows
21,TV Show,Resurrection: Ertugrul,desconocido,Turkey,2018-01-01,TV-14,"International TV Shows, TV Action & Adventure, TV Dramas",International TV Shows
22,Movie,Avvai Shanmughi,K.S. Ravikumar,desconocido,1996-01-01,TV-PG,"Comedies, International Movies",Comedies
23,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,"Alex Woo, Stanley Moore",desconocido,2021-01-01,TV-Y,Children & Family Movies,Children & Family Movies
24,Movie,Jeans,S. Shankar,India,1998-01-01,TV-14,"Comedies, International Movies, Romantic Movies",Comedies
25,TV Show,Love on the Spectrum,desconocido,Australia,2021-01-01,TV-14,"Docuseries, International TV Shows, Reality TV",Docuseries
26,Movie,Minsara Kanavu,Rajiv Menon,desconocido,1997-01-01,TV-PG,"Comedies, International Movies, Music & Musicals",Comedies
27,Movie,Grown Ups,Dennis Dugan,United States,2010-01-01,PG-13,Comedies,Comedies
28,Movie,Dark Skies,Scott Stewart,United States,2013-01-01,PG-13,"Horror Movies, Sci-Fi & Fantasy",Horror Movies
29,Movie,Paranoia,Robert Luketic,"United States, India, France",2013-01-01,PG-13,Thrillers,Thrillers
30,Movie,Ankahi Kahaniya,"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary",desconocido,2021-01-01,TV-14,"Dramas, Independent Movies, International Movies",Dramas
31,TV Show,Chicago Party Aunt,desconocido,desconocido,2021-01-01,TV-MA,TV Comedies,TV Comedies
32,TV Show,Sex Education,desconocido,United Kingdom,2020-01-01,TV-MA,"British TV Shows, International TV Shows, TV Comedies",British TV Shows
33,TV Show,Squid Game,desconocido,desconocido,2021-01-01,TV-MA,"International TV Shows, TV Dramas, TV Thrillers",International TV Shows
34,TV Show,Tayo and Little Wizards,desconocido,desconocido,2020-01-01,TV-Y7,Kids' TV,Kids' TV
35,Movie,The Father Who Moves Mountains,Daniel Sandu,desconocido,2021-01-01,TV-MA,"Dramas, International Movies, Thrillers",Dramas
36,Movie,The Stronghold,Cédric Jimenez,desconocido,2021-01-01,TV-MA,"Action & Adventure, Dramas, International Movies",Action & Adventure
37,TV Show,Angry Birds,desconocido,Finland,2018-01-01,TV-Y7,"Kids' TV, TV Comedies",Kids' TV
38,Movie,Birth of the Dragon,George Nolfi,"China, Canada, United States",2017-01-01,PG-13,"Action & Adventure, Dramas",Action & Adventure
39,TV Show,Chhota Bheem,desconocido,India,2021-01-01,TV-Y7,Kids' TV,Kids' TV
40,TV Show,He-Man and the Masters of the Universe,desconocido,United States,2021-01-01,TV-Y7,"Kids' TV, TV Sci-Fi & Fantasy",Kids' TV
41,Movie,Jaws,Steven Spielberg,United States,1975-01-01,PG,"Action & Adventure, Classic Movies, Dramas",Action & Adventure
42,Movie,Jaws 2,Jeannot Szwarc,United States,1978-01-01,PG,"Dramas, Horror Movies, Thrillers",Dramas
43,Movie,Jaws 3,Joe Alves,United States,1983-01-01,PG,"Action & Adventure, Horror Movies, Thrillers",Action & Adventure
44,Movie,Jaws: The Revenge,Joseph Sargent,United States,1987-01-01,PG-13,"Action & Adventure, Horror Movies, Thrillers",Action & Adventure
45,Movie,My Heroes Were Cowboys,Tyler Greco,desconocido,2021-01-01,PG,Documentaries,Documentaries
46,Movie,Safe House,Daniel Espinosa,"South Africa, United States, Japan",2012-01-01,R,Action & Adventure,Action & Adventure
47,TV Show,The Smart Money Woman,Bunmi Ajakaiye,desconocido,2020-01-01,TV-MA,"International TV Shows, Romantic TV Shows, TV Comedies",International TV Shows
